Frecuencia	EF	Voltaje	EV
100.000	0.001	1.453	0.0005
120.000	0.001	1.456	0.0005
140.000	0.001	1.458	0.0005
160.000	0.001	1.459	0.0005
180.000	0.001	1.460	0.0005
200.000	0.001	1.460	0.0005
205.000	0.001	1.462	0.0005
210.000	0.001	1.462	0.0005
211.000	0.001	1.461	0.001
212.000	0.001	1.461	0.001
213.000	0.001	1.461	0.001
214.000	0.001	1.462	0.0005
215.000	0.001	1.462	0.0005
220.000	0.001	1.462	0.0005
225.000	0.001	1.462	0.0005
230.000	0.001	1.462	0.0005
240.000	0.001	1.462	0.0005
260.000	0.001	1.461	0.0005
280.000	0.001	1.461	0.0005
300.000	0.001	1.460	0.0005
350.000	0.001	1.458	0.0005
400.000	0.001	1.456	0.0005
450.000	0.001	1.452	0.0005
500.000	0.001	1.449	0.0005	
600.000	0.001	1.441	0.0005
700.000	0.001	1.431	0.0005
800.000	0.001	1.420	0.0005
900.000	0.001	1.407	0.0005
1000.000	0.001	1.394	0.001

